25,500
30,499
40,474
50,419
60,346
70,258
80,173.3
90,91.2
100,34.7
110,7.28
120,5.96
130,31.6
140,86.5
150,152.7
160,239.8
170,325
180,402
190,460
200,495
210,499
220,474
230,419
240,350
250,258
260,177.6
270,99.8
280,42.2
290,8.8
300,4.76
310,29.8
320,85.5
330,159.9
340,239.9
350,328
360,408
10,466
20,497
