0,829
5,842
10,813
15,825
20,778
22,721
25,656
27,625
30,651
35,715
40,685
45,640
50,580
55,513
60,449
61,430
62,431
63,404
64,385
65,379
66,363
67,329
68,332
69,310
70,277
75,123
-5,842
-10,803
-15,827
-20,758
-23,652
-25,616
-27,642
-30,687
-35,684
-40,666
-45,651
-50,630
-55,578
-60,379
-65,250
